year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,time_signature,class
1991,218920,0.508,0.826,4,-5.783,0,0.04,0.000175,0.000459,0.543,120.012,4,RnB
2008,238640,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.104,91.841,4,RnB
2010,223106,0.809,0.72,6,-7.776,1,0.136,0.0337,0.00141,0.832,138.556,4,RnB
2007,205786,0.714,0.862,5,-4.603,0,0.0363,0.0609,0.0,0.764,95.038,4,RnB
2010,233173,0.464,0.585,4,-7.889,1,0.0283,0.00948,0.0,0.0716,82.852,4,RnB
2010,211121,0.491,0.706,1,-6.207,0,0.0669,0.00118,3.98e-06,0.573,108.927,4,RnB
2007,242546,0.546,0.283,3,-12.532,1,0.0328,0.818,1.64e-06,0.294,127.954,4,RnB
2000,315973,0.403,0.757,7,-9.931,0,0.0371,0.0496,0.848,0.573,157.957,4,RnB
1997,224800,0.559,0.124,7,-21.157,1,0.03,0.683,0.157,0.478,95.472,4,RnB
2002,158000,0.434,0.939,7,-5.698,1,0.246,0.00102,0.000214,0.539,191.981,4,RnB
2010,231373,0.611,0.614,0,-7.364,1,0.0236,0.106,2.03e-05,0.611,79.987,4,RnB
2010,224280,0.516,0.761,2,-6.23,1,0.0375,0.0871,0.0,0.367,148.033,4,RnB
2007,192226,0.71,0.714,2,-4.26,1,0.0274,0.03,0.000455,0.738,112.046,4,RnB
2005,210066,0.546,0.822,7,-7.771,1,0.137,0.001,0.236,0.495,148.176,4,RnB
2006,283706,0.396,0.882,9,-4.727,1,0.0352,3.99e-05,0.00511,0.692,103.899,4,RnB
2003,164213,0.74,0.959,9,-3.692,1,0.193,0.0629,0.0,0.878,150.007,4,RnB
2006,512693,0.526,0.802,0,-8.397,1,0.0703,0.0417,0.0,0.733,134.219,4,RnB
2011,273040,0.477,0.788,0,-5.478,0,0.06,0.00284,6.13e-05,0.256,153.071,4,RnB
2012,171213,0.578,0.928,6,-5.662,0,0.0358,2.42e-05,0.0995,0.839,116.047,4,RnB
2007,289485,0.292,0.306,7,-13.158,1,0.0547,0.184,0.0046,0.131,79.406,4,RnB
2004,191146,0.401,0.945,2,-3.374,0,0.0408,8.3e-05,0.146,0.681,125.387,4,RnB
2014,112533,0.442,0.995,1,-1.674,0,0.126,0.0108,0.0,0.639,127.02,4,RnB
2012,266226,0.52,0.83,7,-4.753,1,0.0252,0.0066,0.0,0.362,96.002,4,RnB
2008,278493,0.591,0.869,0,-5.373,1,0.0248,0.0257,0.00216,0.591,105.987,4,RnB
2011,327179,0.419,0.549,3,-8.534,0,0.028,0.319,0.0,0.387,172.294,4,RnB
