year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,time_signature,class
1958,158893,0.8946291534206874,0.5199287917777814,6,-0.7154454923936839,0,0.1229918397253652,0.27401637842160675,0.698842679499742,0.0012318971538707313,115.81111938959846,4,RnB
2016,263789,0.9455437888965199,0.2536264531949959,3,-39.92264237387563,1,0.34344302703189233,0.6140744962790068,0.01980802960432526,0.4526790654638412,63.06434659161965,5,RnB
1959,225911,0.8023005464763645,0.37117627178819523,1,-58.28131176773495,0,0.11320800201709202,0.8001494439354587,0.30428258108854267,0.026521792949646295,100.28414906544464,4,RnB
1958,286142,0.13022091460561358,0.8441771919021277,6,-14.981239715502007,0,0.9220533997462134,0.21453157820739466,0.8893153877589627,0.1300872868068027,50.400993719495695,5,RnB
1974,231013,0.7721353785207409,0.5394945223896246,10,-6.954409830948535,0,0.15208540280157956,0.2610045312547672,0.42266098154254217,0.8150633835525307,195.68584829659198,3,RnB
2005,165271,0.763058333649246,0.021620801819905444,10,-21.698303469065195,0,0.7765751773451184,0.5211752192608565,0.18617453627306135,0.6551880938747986,183.20583366369385,4,RnB
1973,221830,0.5072798731089804,0.07103721832015697,3,-54.941016438294206,1,0.8238054943121795,0.10005250985710623,0.47294404412221525,0.6241477415805187,56.42438222417831,4,RnB
1971,296990,0.7934533099609287,0.8936881859783632,8,-57.82859754125054,1,0.4199713260445982,0.25926643582022646,0.9865256748571881,0.903672257907842,105.4011461273362,4,RnB
2016,201331,0.010647877006737194,0.5688641094516291,10,-12.319261101541194,1,0.5901055324147132,0.1783762277445684,0.07282514329574363,0.15423809732865423,94.8483618207917,4,RnB
2022,176536,0.3971548782924792,0.14924428318900673,5,-25.857824636138844,0,0.10325066116944714,0.29877761693507054,0.2839686639678025,0.1086983462250799,158.97494421947687,3,RnB
2003,260579,0.04982243776250783,0.3070784481517418,1,-32.68321658647034,0,0.6805097001905046,0.4480269067927758,0.10624484635953724,0.10871808987914067,185.6844264234931,3,RnB
1971,136709,0.14049698672046196,0.1568198640124029,0,-18.34871181161759,1,0.7679887186594371,0.16330156930631923,0.8492267454980057,0.435267477987483,164.81367136668706,4,RnB
1983,202606,0.6088750745327886,0.46069677072518345,7,-55.85815390433933,1,0.2123570915686691,0.25070325873037136,0.768865814929939,0.6538768026982255,97.55312586007781,4,RnB
1952,238507,0.3591570540973982,0.993630016012046,4,-9.090818993759925,1,0.37518408662720504,0.12663662026890277,0.12379115086805625,0.3748486832310889,198.28978629278555,4,RnB
1971,241217,0.9022680060272447,0.5258282496378741,0,-58.32451921531672,0,0.5787012716022897,0.7335724199501455,0.7357794421501836,0.02480790067607619,74.17251602924657,4,RnB
1977,281314,0.9951164102809874,0.6657270467551928,7,-28.069533988196188,0,0.8744725870182629,0.6944382472026559,0.7794974244017161,0.29294625978585365,76.74640101283862,5,RnB
1983,280735,0.9313611796221498,0.7976951254476505,3,-42.322417842582425,1,0.8853707607234954,0.2519787149637811,0.1112936823734556,0.12319416402946448,157.1287290196363,4,RnB
2017,267205,0.3818913668005578,0.16935061930866357,6,-31.28288998993608,1,0.46151749988936563,0.5126865218532273,0.6719893355102428,0.13188333628987703,69.3045682627954,3,RnB
1990,125642,0.7985520189629725,0.32825051350636203,3,-43.86476923590403,0,0.2732679830044179,0.5438635416593081,0.3182886473054142,0.9697665613722068,61.84276623942853,3,RnB
1961,245522,0.04694251047956277,0.7221253085859829,0,-39.50666038928486,0,0.38458602311995205,0.5366623768468557,0.6702333524581008,0.4591983359900814,190.3872712224888,4,RnB
1969,176325,0.4990875350133258,0.8446390143577723,6,-47.93770756938543,1,0.7147011199990401,0.7522547753049597,0.29670551063548223,0.8508109278465618,161.8162788339897,4,RnB
2013,293763,0.44530405543215834,0.6556892593327331,3,-1.9038896244059416,1,0.8599411390303061,0.0026807926110704594,0.2256089731598664,0.9726785024942053,82.12649452438652,4,RnB
1984,273253,0.40393784640735797,0.003229969257405374,0,-14.582901431345533,0,0.6740108499923432,0.26324579111405366,0.6203274956541301,0.46550321714549625,105.60486975994232,3,RnB
1957,242334,0.31937890487308285,0.505672786710129,5,-59.835851298038854,0,0.39450123207285837,0.30727939024362916,0.9849769187590203,0.1930337284345549,123.49302397590667,5,RnB
2015,182430,0.9143157299783978,0.4120427811577414,3,-3.332999767831268,1,0.6126902643062979,0.9853739519666647,0.2544547111925519,0.12911762293832452,51.397838110199935,5,RnB
1954,258612,0.9311803158500442,0.11873617428725991,5,-52.67603689626633,0,0.6010346488187058,0.39764902653716283,0.8283616378718314,0.9866584021497238,108.17770666098087,3,RnB
1976,278551,0.37329904338332354,0.05364459530894039,3,-47.0088240144324,0,0.840013873171856,0.3206904896559011,0.9419732604093378,0.8044137057747947,114.51887929281492,5,RnB
1994,244572,0.20759590372291858,0.0033663141074872227,2,-18.554412549278666,0,0.0009439815103051696,0.14032485230330283,0.5015066936480099,0.42399179687537614,125.40174237755974,5,RnB
1983,166745,0.8172187496719786,0.8230289054280031,5,-47.311177648784124,0,0.8614934198952886,0.16757097876021854,0.23313612050439247,0.8376388321918724,71.2777847469668,4,RnB
1989,236351,0.3963085143246202,0.14154107253211656,9,-40.25850947887288,0,0.1844105083655132,0.043022114429673075,0.23537142660079646,0.7773288027638184,199.80404634219514,3,RnB
1992,279165,0.04831983134235729,0.8236691801287297,4,-54.65396277049997,0,0.9125636969518807,0.5091228601905172,0.20400203469043987,0.7930716985611315,112.28921844615168,5,RnB
1987,284300,0.3493840376237899,0.5968380511381434,3,-51.324404708244955,0,0.6970335513611124,0.9488157701025759,0.5956338665905052,0.7525310442904662,121.52988465371662,4,RnB
1978,204144,0.8285035567870231,0.43729979175046885,1,-33.10923058851528,0,0.3533730719316207,0.9313420967196383,0.1167754997707835,0.9113243209496638,198.00504239779505,4,RnB
1979,255590,0.7710119611567902,0.5291488667355277,4,-43.683524466563604,1,0.4954230550655403,0.6272242704365889,0.32498565281578606,0.40468288803876873,83.20783156249644,4,RnB
1973,164485,0.7042737403348375,0.8591408382570767,8,-28.570285265427543,1,0.4124242600994207,0.0437363791676596,0.625933149453161,0.08637999291092535,61.22446330962261,3,RnB
1983,130115,0.41956948713544373,0.6162880335898431,7,-18.176584760525103,1,0.3757448469017777,0.22396401905018537,0.6793138567179428,0.2943562155846322,74.15074202825569,3,RnB
2020,237663,0.1295196860150999,0.7424273008936328,5,-45.15595148528633,1,0.9520819798556512,0.6438111335523254,0.10809486954949432,0.549028152788531,193.54616213968453,3,RnB
2002,126402,0.3896700590444728,0.7553265989818782,9,-3.818980461266861,1,0.91042702034151,0.21103756040919697,0.6971574339624689,0.32464708478069626,122.5905381288202,3,RnB
2002,131356,0.35874089669714915,0.4335225520508058,9,-5.6440250875034295,0,0.6640764213313964,0.7939722125928357,0.008583776361078654,0.8603547234294515,198.46939775124926,5,RnB
1969,152378,0.9899764127513616,0.08028626076856349,4,-5.932769879120258,1,0.24094530614887222,0.6076608491085381,0.04682287519970196,0.44170018138142964,169.96872915620875,3,RnB
1989,291226,0.321687858564362,0.016228762889805348,10,-5.142464129192817,1,0.510721118868181,0.46224975121102996,0.9599544043629796,0.8221008125526115,88.00372743753118,5,RnB
1974,183037,0.9601702825490324,0.9128728054015354,8,-45.98389408945384,0,0.8858559824084119,0.6864465560230012,0.5208226654241219,0.16598924808773385,109.73483006427969,5,RnB
1974,256243,0.7894192117876903,0.7556482180791748,4,-32.17635005330358,1,0.7364888395362672,0.6152471841669217,0.5728463812719706,0.7425860268698913,109.88949312708135,4,RnB
1993,170055,0.48417100976249616,0.7412845910363133,7,-37.69026892383431,1,0.6240765880605608,0.3278140906874214,0.9675723872648623,0.3088662810909283,153.36860131994104,4,RnB
1966,233334,0.5438004196344449,0.5656063988193236,0,-41.54254501056802,0,0.28164181507529873,0.2980266915457598,0.5455748437785619,0.7281283905967457,150.56347018885194,4,RnB
2005,279236,0.9676372382862163,0.00017001380171033365,4,-3.5912974857079547,1,0.3013761539880402,0.8373922679420143,0.012367072455412464,0.09839408456790844,69.93252223337852,4,RnB
1961,186050,0.7138846569811571,0.2601074501532262,0,-46.8881250530072,1,0.5493650131224267,0.5057295995673388,0.7548276674628851,0.4499548626236607,111.30307639487302,3,RnB
1987,214604,0.7401757335753533,0.7210019959217692,9,-51.56819039865866,0,0.2835883166663532,0.19751232592245604,0.4953352659478374,0.1775365054436131,78.83682323670641,3,RnB
1993,200639,0.4149600195018138,0.28935099840398126,3,-40.29311731097938,0,0.38424505989473856,0.7483671672010004,0.7704050930860873,0.23105767911185038,191.3367563290988,5,RnB
1950,233128,0.11148133086210121,0.7577446183393957,4,-51.782325591415734,1,0.9787688524279292,0.49388397056164046,0.07292467680950565,0.048250995363288696,75.48263103206102,4,RnB
2010,202040,0.5659850027801887,0.21691813143040195,5,-36.03901950966768,1,0.5646593007488213,0.13136184422678243,0.8340564077234727,0.8759141284190376,182.60469788084902,4,RnB
2006,275518,0.48177109627972015,0.9712395888062855,5,-53.459550645779785,0,0.3070128490893732,0.7920536889243069,0.7133048300876914,0.957314957136211,92.40615872049673,4,RnB
1978,213638,0.6903021170497663,0.408415404009859,1,-29.307166536820432,1,0.5862361705736858,0.30134896263925703,0.0415457102070923,0.38166046734864756,82.80566638141562,4,RnB
2013,255050,0.07511021900081827,0.5444401763946096,3,-49.09904609756671,1,0.35848901984039017,0.9133068254570108,0.31204561927903673,0.7043666627114552,122.55548557589312,3,RnB
1965,290521,0.4036967914579006,0.8985781682141666,4,-9.32713643616814,1,0.19793339077240946,0.7854388062001191,0.883876248513982,0.6888594661848706,69.81588637495558,4,RnB
1989,240711,0.8226086013998144,0.6814519443125804,4,-56.42656374036946,1,0.9408085002590898,0.33348269020800025,0.7736988213870449,0.6353169691180578,110.46515848927055,4,RnB
1974,215949,0.6289403140003766,0.7221499625981587,3,-42.00424867586311,0,0.37126191900104744,0.11647795716669906,0.8337420126849666,0.02105603656627908,53.771293185290716,5,RnB
1951,263026,0.6731452200616574,0.26005110111127216,9,-55.392726438550916,0,0.7665650499975303,0.8297740257142155,0.4611571714191377,0.4657608052505108,59.243518973184976,3,RnB
1954,229079,0.1995302537978101,0.03268431794617488,8,-46.32326731471723,0,0.47448850312059254,0.6037817537828872,0.0680650650982787,0.7587088709767257,162.3613726359593,5,RnB
1951,126471,0.23609162743013834,0.9483573444779078,7,-42.432449866451826,1,0.2229584205494799,0.0840611993651782,0.47882187107861696,0.4944874832022872,109.18560456569337,5,RnB
1966,262433,0.24274204975016966,0.1835945375737701,4,-30.186369876531423,0,0.45880319344880316,0.26334104408511727,0.9158825060337576,0.48181232518963335,134.39557867208285,3,RnB
1961,279806,0.5837814920806564,0.8153971173958218,3,-26.66442921109816,1,0.342973170434841,0.26919829635093484,0.46625617551716947,0.5061134922383116,50.02926930580042,5,RnB
1985,250694,0.8101661154661739,0.6713626730226298,3,-26.23252400030927,1,0.23292397101968854,0.9200946408070179,0.7016099836162503,0.7540405100358929,111.66417738076848,5,RnB
1989,207419,0.8127944546197782,0.057373343878460825,7,-30.49534398745122,1,0.3057435407489839,0.7454555643955438,0.8375808092922351,0.2111883024683806,67.30414162605493,3,RnB
1954,212386,0.5537517831476285,0.0214920976283014,0,-21.574684762725894,0,0.03639877729744467,0.3035618736158209,0.29425019053594126,0.6659814423321196,197.6752404702495,4,RnB
1990,295667,0.8863505701208599,0.6691499617089643,5,-37.295533346647474,0,0.024334579980189397,0.5065288864177059,0.3546095895895798,0.6466849557544067,72.96718683115085,3,RnB
2009,237021,0.05864253213185033,0.8510676374225354,2,-28.265155474419437,1,0.915919590295257,0.5321881733305749,0.3891885094730324,0.6224471864226234,72.77268318322707,4,RnB
1983,253475,0.9891770695674134,0.1401973198657267,2,-30.839541240758226,1,0.7880461633845119,0.2260380562321832,0.05726952561013743,0.2514090218092975,146.06430607039744,5,RnB
1952,296172,0.43765312691567826,0.7193541301321089,6,-56.448414020464966,1,0.5621801287978192,0.5413814956605827,0.3156460996624044,0.11917226559080374,183.8812522865539,4,RnB
1973,202357,0.849160549083428,0.25452551551896907,5,-31.571870095015242,1,0.15432278255262444,0.6844980532940668,0.9900291933657428,0.6226598479329308,63.0043412389173,4,RnB
2013,232793,0.02772298170247922,0.6293819881386075,7,-53.930187709400585,0,0.03734120763259119,0.5528154586857874,0.39335834459382757,0.18079215230969137,52.39959298127233,3,RnB
1998,164665,0.6221418432912534,0.7067665122522275,10,-52.118701562038034,1,0.4308996731989283,0.9285052535185365,0.46228505935730635,0.44858061982944675,115.29489453362015,3,RnB
1975,246133,0.903395700256465,0.6909604171249487,5,-0.7229314300154073,1,0.7620012493635238,0.14622565172960433,0.083273963066273,0.1322549771498388,164.10581677474653,5,RnB
1971,198902,0.6233557876103907,0.6331158581047963,3,-44.41859113375336,0,0.6128491042540606,0.5090411361766416,0.7691944375731564,0.5355632395680372,162.9312424465657,5,RnB
1995,217043,0.7613933954459272,0.9475797941064384,8,-59.66217755212096,0,0.6495726747572792,0.8370824957169503,0.4137671972858772,0.309988274993098,168.1441443947109,4,RnB
2009,225621,0.4803818320556562,0.663800097744734,10,-41.659269325982976,1,0.9674185951715296,0.2861995274387811,0.6421153424852788,0.6346815911932222,154.94111392225912,4,RnB
1976,278971,0.23522717041610486,0.6094982004950242,3,-31.60577879961317,0,0.44247182383534234,0.4060091857878587,0.27033499994707266,0.019502482948790867,161.72775228126392,3,RnB
2006,122789,0.821512430481718,0.6360353088906802,7,-34.64654403431004,0,0.0806063967797126,0.4448183788771547,0.8233514355631046,0.6400353871007655,181.02795010454074,4,RnB
1990,217706,0.4057044638648667,0.7192525538711352,0,-30.39611840599087,1,0.9752900431082399,0.23628499026189032,0.21039736627315986,0.04152550824744172,64.95264972598295,3,RnB
2022,173214,0.5173430540389813,0.9874670846273924,0,-25.40921993186533,1,0.2924362197463919,0.7752508068050074,0.341600863877328,0.7955116425986616,149.3941645857748,5,RnB
2008,238558,0.9990414387594994,0.5989812501384127,5,-47.00174221805726,0,0.37068783430806984,0.012694907739329464,0.5901642652436762,0.500792400677052,132.85706053870672,3,RnB
1960,239652,0.6251077812942918,0.5976219068839256,2,-4.4118339795500745,0,0.8013244923885813,0.5620891451372075,0.5895010548325659,0.47592712266071513,61.99139559769412,5,RnB
1987,134002,0.7172638733479642,0.35009820510910905,0,-21.95525472540251,1,0.0771619121261572,0.7385985794482232,0.8396509151006477,0.7777398835126668,198.17257138596764,3,RnB
